X.1,Right to leave,Wrong to leave
21/01/2025,30,55
07/11/2024,33,55
24/07/2024,34,55
21/06/2024,34,57
16/05/2024,31,58
01/05/2024,31,55
11/04/2024,33,57
27/03/2024,34,55
15/02/2024,32,56
20/12/2023,34,53
13/12/2023,33,55
07/12/2023,33,54
30/11/2023,33,55
08/11/2023,33,57
01/11/2023,33,54
25/10/2023,34,56
18/10/2023,32,55
12/10/2023,33,55
05/10/2023,32,58
27/09/2023,32,55
31/08/2023,32,56
22/08/2023,33,55
18/08/2023,32,57
09/08/2023,32,55
20/07/2023,33,55
14/07/2023,32,57
06/07/2023,32,55
28/06/2023,34,55
21/06/2023,32,55
07/06/2023,32,56
31/05/2023,33,55
26/05/2023,33,56
18/05/2023,31,56
10/05/2023,33,54
19/04/2023,33,53
13/04/2023,34,54
06/04/2023,32,55
30/03/2023,32,55
22/03/2023,33,53
08/03/2023,33,54
01/03/2023,33,54
22/02/2023,32,53
09/02/2023,33,54
25/01/2023,33,54
19/01/2023,34,54
05/01/2023,35,54
21/12/2022,34,53
07/12/2022,34,51
30/11/2022,34,54
23/11/2022,34,52
16/11/2022,34,53
10/11/2022,32,56
02/11/2022,35,52
21/10/2022,34,54
12/10/2022,34,52
07/10/2022,35,52
22/09/2022,34,53
07/09/2022,37,51
01/09/2022,36,51
25/08/2022,35,52
28/07/2022,36,52
22/07/2022,37,49
14/07/2022,35,53
07/07/2022,38,51
29/06/2022,36,50
25/05/2022,37,49
19/05/2022,39,49
06/05/2022,39,47
27/04/2022,37,49
20/04/2022,38,49
07/04/2022,38,49
23/03/2022,38,49
04/03/2022,39,49
02/02/2022,39,48
12/01/2022,38,49
07/01/2022,38,50
20/12/2021,39,49
15/12/2021,40,48
02/12/2021,38,49
25/11/2021,40,48
18/11/2021,39,47
11/11/2021,37,50
04/11/2021,39,48
13/10/2021,38,49
16/09/2021,40,47
03/09/2021,39,48
26/08/2021,41,47
06/08/2021,42,46
29/07/2021,43,45
16/07/2021,41,47
08/07/2021,41,45
30/06/2021,42,46
17/06/2021,43,46
10/06/2021,43,44
20/05/2021,45,44
14/04/2021,41,45
08/04/2021,42,46
01/04/2021,46,43
26/03/2021,44,44
10/03/2021,43,45
04/03/2021,41,45
26/02/2021,42,46
18/02/2021,41,47
10/02/2021,43,46
03/02/2021,43,45
27/01/2021,40,48
22/01/2021,40,48
14/01/2021,42,47
05/01/2021,40,48
16/12/2020,40,51
03/12/2020,39,49
27/11/2020,38,50
18/11/2020,39,50
12/11/2020,38,51
05/11/2020,41,49
29/10/2020,40,47
22/10/2020,38,50
07/10/2020,39,48
30/09/2020,39,49
24/09/2020,39,50
09/09/2020,41,46
04/09/2020,42,45
25/08/2020,41,47
19/08/2020,40,45
12/08/2020,42,46
05/08/2020,39,49
31/07/2020,41,47
23/07/2020,42,47
12/06/2020,40,47
30/05/2020,42,45
19/05/2020,43,45
24/04/2020,45,43
17/04/2020,43,44
10/02/2020,43,44
02/02/2020,43,46
26/01/2020,40,47
12/11/2019,41,47
06/11/2019,40,49
21/10/2019,41,47
15/10/2019,42,47
09/10/2019,42,48
01/10/2019,40,49
03/09/2019,41,48
29/08/2019,40,50
28/08/2019,41,47
23/08/2019,41,48
14/08/2019,42,46
06/08/2019,41,47
30/07/2019,41,49
17/07/2019,40,47
03/07/2019,41,48
10/06/2019,41,47
06/06/2019,42,47
29/05/2019,41,46
11/04/2019,41,48
03/04/2019,42,47
25/03/2019,41,48
07/03/2019,40,49
23/02/2019,40,48
04/02/2019,39,48
31/01/2019,41,48
14/01/2019,40,48
07/01/2019,39,48
11/12/2018,41,48
05/12/2018,38,49
15/11/2018,40,47
05/11/2018,41,45
23/10/2018,41,47
09/10/2018,40,47
01/10/2018,42,47
19/09/2018,40,47
13/09/2018,42,46
04/09/2018,42,48
29/08/2018,42,47
21/08/2018,41,47
14/08/2018,43,45
09/08/2018,42,45
23/07/2018,42,46
17/07/2018,42,47
11/07/2018,41,46
09/07/2018,42,46
04/07/2018,41,46
26/06/2018,43,46
19/06/2018,43,44
12/06/2018,43,46
05/06/2018,44,44
29/05/2018,40,47
21/05/2018,43,44
14/05/2018,44,45
09/05/2018,43,45
01/05/2018,42,47
25/04/2018,42,45
17/04/2018,42,45
10/04/2018,42,46
27/03/2018,42,45
06/03/2018,43,45
27/02/2018,42,45
20/02/2018,42,45
13/02/2018,42,46
06/02/2018,43,44
29/01/2018,40,46
17/01/2018,45,44
08/01/2018,42,46
20/12/2017,42,45
11/12/2017,44,45
05/12/2017,42,45
28/11/2017,42,44
08/11/2017,42,46
19/10/2017,42,45
11/10/2017,42,47
24/09/2017,44,45
12/09/2017,44,45
31/08/2017,44,44
22/08/2017,43,45
18/08/2017,45,43
01/08/2017,45,45
19/07/2017,43,43
11/07/2017,45,43
22/06/2017,44,45
07/06/2017,45,45
31/05/2017,44,45
25/05/2017,46,43
17/05/2017,46,43
10/05/2017,44,45
03/05/2017,46,43
26/04/2017,43,45
19/04/2017,46,43
13/04/2017,45,43
06/04/2017,46,42
27/03/2017,44,43
21/03/2017,44,44
14/03/2017,44,42
28/02/2017,45,44
22/02/2017,45,45
13/02/2017,46,42
31/01/2017,45,42
18/01/2017,46,42
10/01/2017,46,42
04/01/2017,47,43
19/12/2016,44,44
05/12/2016,44,42
29/11/2016,44,45
15/11/2016,46,43
12/10/2016,45,43
14/09/2016,46,44
31/08/2016,47,44
23/08/2016,45,43
17/08/2016,46,43
09/08/2016,45,44
02/08/2016,46,42
