Food group,include,Current (g/d),Livewell (g/d),pct change
Non-alcoholic beverages,,1619.62,1591.73,-1.72%
Water,,706.41,705.73,-0.10%
"Coffee, tea",,642.74,641.21,-0.24%
Total fruit and vegetables,,291.93,424.39,45.37%
Cereal and cereal products,1,210.45,279.04,32.59%
Vegetables,1,184.77,265.81,43.86%
Soft drinks,,270.47,244.71,-9.52%
Alcoholic beverages,,187.22,158.87,-15.14%
Fruit,1,107.16,158.58,47.98%
Total dairy,,197.4,147.32,-25.37%
Milk and milk products,1,177.6,140.78,-20.73%
Potatoes,,79.49,111.56,40.34%
Total fish and other seafood,1,22.35,40.84,82.73%
Total meat,1,100.82,36.51,-63.79%
"Legumes, nuts and oilseeds",1,24.27,36.4,49.98%
Fruit juice and smoothies,,50.05,26.83,-46.39%
Miscellaneous,,45.34,24.71,-45.50%
Animal and vegetable fats and oils,,16.28,23.53,44.53%
White fish,,11.67,20,71.38%
Oily fish,,8.14,20,145.70%
"Snacks, desserts, and other foods",,41.32,19.41,-53.03%
Egg and egg products,1,26.68,17.91,-32.87%
Poultry,,45.4,17.58,-61.28%
Sugar and confectionary,1,26.75,14.12,-47.21%
Total meat and dairy alternatives,,12.12,8.48,-30.03%
Processed red meat,,22.79,7.52,-67.00%
Cheese,1,19.8,6.53,-67.02%
Beef,,19.25,6.35,-67.01%
Meat alternatives,,3.21,4.81,49.84%
Milk alternatives,,8.92,3.68,-58.74%
Pork,,6.65,2.19,-67.07%
Offal,,1.02,1.53,50.00%
Lamb,,4,1.32,-67.00%
Shellfish,,2.55,0.84,-67.06%
